options,Record Count
"아이스 화이트(WW7) 외장 컬러
8.0만원",3342
"선루프
35.0만원",3338
"LED 실내등 , 블랙박스 , 버튼 시동키 ,",3328
"화이트 크리스탈(PW6) 외장컬러
8.0만원",3292
"드라이빙 세이프티 PACK 
195.0만원",3283
"LED 실내등 , LED 브레이크등 , 버튼 시동키 ,",3244
"와이드 파노라마 썬루프 (블랙 유광 루프랙 포함)
110.0만원",3238
"LED 브레이크등 , 버튼 시동키 ,",3181
"7인승(러기지 스크린)
20.0만원",3163
"스노우화이트 펄
8.0만원",3080
"하이패스시스템 (ECM 룸미러 포함)
27.0만원",3057
"고급 인조가죽 시트 (인조가죽도어센터트림포함)
25.0만원",3024
"내비게이션 패키지 I 
109.0만원",3000
"내비게이션 (7인치, 후방 카메라)
90.0만원",2997
"스타일링 패키지 
99.0만원",2990
"드라이빙 어시스트 패키지 I 
180.0만원",2940
"ETCS+ ECM룸미러
25.0만원",2939
"내비게이션(8인치, 후방카메라) + 독립제어 풀오토 에어컨(운전석, 동승석, 후석) + 클러스터 이오나이저, 오토 디포그
120.0만원",2936
"3피스 타입 파노라마 썬루프(전동식 롤 블라인드)
115.0만원",2921
"7인치 스마트 내비게이션 + 조향연동 후방카메라
85.0만원",2865
"세이프티 썬루프
44.0만원",2857
"컨비니언스 패키지 
40.0만원",2855
"백진주색
17.0만원",2854
"사이드 스텝 , 블랙박스 , 버튼 시동키 ,",2850
"8인치 내비게이션 + 후방카메라
80.0만원",2849
"3열 시트 (7인승) + 리어에어컨 (3열) + 2열 시트리모트 폴딩 + 소화기
65.0만원",2803
"스타일 
50.0만원",2754
"현대 스마트 센스 패키지Ⅰ 
150.0만원",2753
"전자식 룸미러(ECM) & 자동요금징수시스템(ETCS)
25.0만원",2743
"3열시트(7인승) + 후석에어컨 & 히터컨트롤 + 소화기
65.0만원",2725
"전자식 룸미러 (ECM) + 자동 요금징수 시스템 (ETCS)
25.0만원",2706
"화이트 펄 외장색
10.0만원",2696
"내비게이션 
108.0만원",2655
"와이드 파노라마 썬루프
120.0만원",2650
"와이드 파노라마선루프
105.0만원",2648
"스타일 
95.0만원",2637
"세이프티 썬루프
80.0만원",2567
"3열 시트 (7인승) + 리어에어컨 (3열)+ 2열 시트리모트 폴딩 + 소화기
65.0만원",2564
"스마트 내비게이션 (7인치, 후방카메라)
80.0만원",2562
"브라운 가죽 시트
10.0만원",2560
"하이패스 시스템(ECM 미적용)
20.0만원",2522
"8인치 스마트 내비게이션 + ACTUNE 프리미엄 사운드 시스템(12스피커)
104.0만원",2522
"ETCS + ECM룸미러
25.0만원",2511
"3열 시트(7인승) + 리어 에어컨
65.0만원",2506
"컴포트 시트 I 
35.0만원",2483
"내비게이션 (7인치, 후방카메라) & 휴대폰 무선충전시스템
88.0만원",2480
"파노라마 선루프
93.0만원",2468
"컨비니언스 패키지 
50.0만원",2462
"익스테리어 패키지 I 
150.0만원",2458
"8인치 스마트 내비게이션(CDP 미적용)
85.0만원",2455
"클라우드 펄 외장컬러
17.0만원",2438
"파노라마 선루프
92.0만원",2432
"스마트 UP 
65.0만원",2420
"프리미어 인테리어 셀렉션 
150.0만원",2418
"사이드 스텝 , 블랙박스 ,",2416
"현대 스마트 센스 패키지 II 
155.0만원",2407
"세이프티썬루프
51.0만원",2403
"선루프
80.0만원",2393
"드라이빙 어시스트 패키지 I 
204.0만원",2393
"스위트 
34.0만원",2392
"(8인치) 스마트 내비게이션 + 후방 카메라
88.0만원",2392
"스마트키 패키지 Ⅰ 
44.0만원",2366
"내비게이션 팩 (제스쳐 UI 기능 포함) 
80.0만원",2351
"전자식 룸미러(ECM) + 자동 요금징수 시스템(ETCS)
25.0만원",2345
"ABS
30.0만원",2344
"액츄얼 DMB 내비게이션 II+자동요금징수시스템 
110.0만원",2312
"드라이빙 어시스트 패키지 I 
208.0만원",2303
"컴포트 
50.0만원",2295
"사이드 스텝 ,",2290
"와이드 파노라마 썬루프
85.0만원",2229
"듀얼 선루프
85.0만원",2226
"와이드 파노라마 썬루프(블랙 유광 루프랙 포함)
120.0만원",2225
"스타일 2 
65.0만원",2218
"컨비니언스 패키지 
60.0만원",2210
"스타일 3 
39.0만원",2209
"파워 슬라이딩 도어
75.0만원",2198
"하이테크 
120.0만원",2187
